agent_slug,agent_name,tier,kind,file,headline,strategy,lesson,expected_bank,hands,extra_quadrants,crops,animals,uses_care,uses_fertilizer,meters_sales,holds_price_floor
fallow_finn,Fallow Finn,0,authored,fallow_finn.py,Never plants anything. The reward floor.,"Returns PASS on every one of the 720 turns and issues no market orders, so the farm ends the season exactly as it started.",Fixes the bottom of the scale. Any agent that cannot beat Finn is losing money somewhere -- usually by buying seeds or livestock it then fails to water or feed.,3000,0,0,none,none,False,False,False,False
wheat_walter,Wheat Walter,1,authored,wheat_walter.py,"One farmer, wheat only, harvests too early.","Buys wheat seed, plants it in the starting NW quadrant, waters what he can reach and harvests the instant the crop is legal to harvest on day 2. Hires nobody and never buys land.","Two beginner mistakes, isolated. Harvesting at first_yield_day instead of max_yield_day throws away the watering bonus window: wheat taken on day 2 yields 1 unit where day 4 yields 4. And one farmer has only 24 actions a day, so most of the 25 starting tiles sit idle all season.",7056,0,0,WHEAT,none,False,False,False,False
rotation_rosa,Rotation Rosa,2,authored,rotation_rosa.py,Hires help and runs a three-crop rotation.,"Hires 4 hands every morning and fills the NW quadrant with wheat, carrot and tomato in a 50/30/20 split. Waits for the full watering bonus window before harvesting one-time crops. Never buys land or livestock.",Labour is nearly free. Four hands cost 1+1+2+3 = 7 coins for the whole day and multiply the action budget from 24 to 120. Fixing the harvest timing on top of that lifts Walter's bank by roughly two thirds for seven coins a day.,12929,4,0,WHEAT|CARROT|TOMATO,none,False,False,True,False
homestead_hana,Homestead Hana,3,authored,homestead_hana.py,Buys one quadrant and scales staples with a real crew.,"Buys the NE quadrant, ramps from 4 to 8 hands as the work grows, and runs a carrot-led staple mix (40% carrot, 20% tomato, 40% wheat) across both quadrants. Holds modest price floors on carrot and tomato and meters sales into 30-unit lots.","Land and labour scale staples -- but only so far. Measured across seeds, buying a *second* extra quadrant makes this agent worse, not better: 3,000 coins of land is more than staple crops can repay. A quadrant is only worth buying when you have something valuable to put on it.",16030,8,1,CARROT|WHEAT|TOMATO,none,False,False,True,True
melon_mateo,Melon Mateo,4,authored,melon_mateo.py,Farms the premium crop and refuses to dump it.,"Buys the NE quadrant, hires 6 hands and devotes 70% of his land to melon with wheat as filler. Fertilizes melons through the bonus window to reach the 6-unit cap, then sells at most 12 melons a turn and refuses to sell below 120.","Melon grosses about 115 per tile per day, five times wheat. But its glut curve is quadratic with above_target 3.60, so the market only absorbs roughly 150 melons before the price hits the $1 floor. Metering sales and holding a floor is worth more than growing more melons -- which is also why extra land does not help him.",28349,6,1,MELON|WHEAT,none,False,True,True,True
rancher_rita,Rancher Rita,5,authored,rancher_rita.py,"Livestock at scale, on the back of a wheat feed chain.","Buys two extra quadrants, hires 8 hands, builds 16 pastures and stocks them with 10 cows and 6 sheep. Feeds and CAREs every animal daily, grows her own wheat for feed and tops up from the market below 55 a unit.","Animals out-earn crops per action once CARE is running: a cared cow yields 3 milk every 2 days instead of 1. But a cow yields nothing at all for its first 8 days, so the binding constraint is working capital, not land. Rita holds 16 days of feed money in reserve before buying an animal. With a 4-day reserve instead she goes bankrupt on day 3 against a wheat-heavy opponent, the whole herd starves, and she scores zero -- losing to tier 1. An animal dies permanently after two unfed days, and there is no way back.",46211,8,2,WHEAT,COW|SHEEP,True,False,True,False
broker_bea,Broker Bea,6,meta_line,broker_bea.py,Meta field plan with opportunistic wheat timing.,Runs the shared meta field plan -- an 8-cow / 5-sheep / 6-strawberry build across three quadrants with a full crew -- and layers on a market schedule that times wheat purchases against the opponent's cash position rather than buying on a fixed cadence.,"The first thing to notice is how far above the authored ladder this sits. The second is that the production plan is not what makes it strong: tiers 6-9 all share the same field plan and differ only in when they sell, and that alone spreads them by thousands of coins.",164265,,,,,,,,
slotter_silas,Slotter Silas,8,meta_line,slotter_silas.py,Meta field plan with a reordered SELL layer.,"Same meta field plan, with the market queue reordered so that premium goods take the earliest slots of the turn and the glut-resistant staples fill in behind them.","Market orders resolve in list order, and the first unit of a sale gets the best price. Reordering the queue costs nothing and is worth real money.",162999,,,,,,,,
ledger_lena,Ledger Lena,7,meta_line,ledger_lena.py,Meta field plan with a different sell-ordering trade-off.,"Same meta field plan and the same reordering idea as Slotter Silas, tuned to a different balance between selling premium goods early and keeping staples flowing.","A useful A/B against Slotter Silas: identical production, identical strategy in outline, measurably different results. If you want to know whether your own market layer is any good, these two bracket the question.",164540,,,,,,,,
closer_cleo,Closer Cleo,9,meta_line,closer_cleo.py,"Meta field plan, sells reordered in place so buys stay funded.","Same meta field plan, but the SELL layer only reorders within the market slots the plan already used for selling. Nothing is moved into a slot that was holding a purchase.","The subtlest lesson in the dataset, and the most expensive one to learn the hard way. Sells fund the buys that follow them in the same queue; hoist the sells out of their original slots and a BUY_PRODUCT WHEAT later in the turn fails on a near-zero balance, animals go unfed, and the farm quietly loses far more than the reordering gained.",148546,,,,,,,,
